,text_description
45,有一个Changning的public housing，2卧1厅1卫，面积是52平方米，有供暖，有空调，有阳台，房租价格是6200.0。
46,有一个Changning的public housing，1卧1厅1卫，面积是36平方米，有空调，有阳台，房租价格是6200.0。
47,有一个Changning的public housing，1卧1厅1卫，面积是42平方米，有空调，有阳台，房租价格是6200.0。
48,有一个Changning的public housing，2卧0厅1卫，面积是56平方米，有空调，有阳台，房租价格是6200.0。
49,有一个Changning的public housing，1卧1厅1卫，面积是1平方米，有空调，有阳台，房租价格是6200.0。
50,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有空调，有阳台，有WIFI，房租价格是6400.0。
51,有一个Changning的public housing，1卧1厅1卫，面积是40平方米，有空调，有阳台，房租价格是6500.0。
52,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有空调，有WIFI，房租价格是6500.0。
53,有一个Changning的public housing，2卧0厅1卫，面积是50平方米，有室外空间，有空调，有阳台，房租价格是6500.0。
54,有一个Changning的public housing，1卧1厅1卫，面积是48平方米，有空调，有阳台，有WIFI，房租价格是6500.0。
55,有一个Changning的public housing，1卧1厅1卫，面积是47平方米，有供暖，有空调，有阳台，有WIFI，房租价格是6500.0。
56,有一个Changning的detached lane house，1卧0厅1卫，面积是20平方米，有室外空间，房租价格是6500.0。
57,有一个Changning的public housing，1卧1厅1卫，面积是38平方米，有室外空间，有空调，有阳台，房租价格是6600.0。
58,有一个Changning的public housing，1卧1厅1卫，面积是45平方米，有空调，有阳台，有WIFI，房租价格是6600.0。
59,有一个Changning的public housing，1卧1厅1卫，面积是39平方米，有室外空间，有空调，有阳台，房租价格是6600.0。
60,有一个Changning的detached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有空调，有WIFI，房租价格是6600.0。
61,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有阳台，有WIFI，房租价格是6700.0。
62,有一个Changning的public housing，1卧1厅1卫，面积是65平方米，有室外空间，房租价格是6700.0。
63,有一个Changning的attached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是6800.0。
64,有一个Changning的public housing，1卧0厅1卫，面积是38平方米，有阳台，有WIFI，房租价格是6800.0。
65,有一个Changning的public housing，1卧1厅1卫，面积是42平方米，有空调，有阳台，有WIFI，房租价格是6800.0。
66,有一个Changning的public housing，2卧1厅1卫，面积是78平方米，有供暖，有空调，房租价格是6800.0。
67,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有供暖，有空调，有阳台，房租价格是6800.0。
68,有一个Changning的public housing，1卧1厅1卫，面积是45平方米，有供暖，有空调，有阳台，房租价格是6800.0。
69,有一个Changning的public housing，1卧0厅1卫，面积是40平方米，有空调，有阳台，房租价格是6800.0。
70,有一个Changning的public housing，1卧1厅1卫，面积是38平方米，有空调，有阳台，房租价格是6800.0。
71,有一个Changning的attached lane house，1卧2厅1卫，面积是60平方米，有室外空间，有空调，有WIFI，房租价格是6900.0。
72,有一个Changning的public housing，1卧1厅1卫，面积是45平方米，有空调，房租价格是6900.0。
73,有一个Changning的public housing，1卧1厅1卫，面积是35平方米，有室外空间，有空调，房租价格是6900.0。
74,有一个Changning的public housing，1卧1厅1卫，面积是45平方米，有供暖，有空调，有阳台，房租价格是6900.0。
75,有一个Changning的public housing，1卧1厅1卫，面积是45平方米，有供暖，有空调，有阳台，房租价格是6900.0。
76,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是6900.0。
77,有一个Changning的attached lane house，1卧1厅1卫，面积是50平方米，有供暖，房租价格是7000.0。
78,有一个Changning的detached lane house，1卧1厅1卫，面积是60平方米，有供暖，有空调，有WIFI，有浴缸，房租价格是7000.0。
79,有一个Changning的public housing，2卧1厅1卫，面积是60平方米，有室外空间，房租价格是7000.0。
80,有一个Changning的public housing，1卧1厅1卫，面积是42平方米，有空调，有阳台，房租价格是7000.0。
81,有一个Changning的public housing，2卧1厅1卫，面积是65平方米，有室外空间，有空调，有阳台，有WIFI，有浴缸，房租价格是7200.0。
82,有一个Changning的public housing，2卧1厅1卫，面积是65平方米，有空调，有阳台，房租价格是7200.0。
83,有一个Changning的detached lane house，1卧1厅1卫，面积是52平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是7200.0。
84,有一个Changning的public housing，1卧2厅1卫，面积是55平方米，有室外空间，有空调，有阳台，有WIFI，有浴缸，房租价格是7300.0。
85,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有空调，房租价格是7300.0。
86,有一个Changning的public housing，1卧1厅1卫，面积是48平方米，有供暖，有空调，有阳台，有WIFI，房租价格是7400.0。
87,有一个Changning的attached lane house，1卧1厅1卫，面积是70平方米，有室外空间，有空调，房租价格是7500.0。
88,有一个Changning的public housing，1卧1厅1卫，面积是40平方米，有空调，房租价格是7500.0。
89,有一个Changning的public housing，2卧1厅1卫，面积是80平方米，有空调，有阳台，房租价格是7500.0。
90,有一个Changning的public housing，2卧1厅1卫，面积是50平方米，有空调，有阳台，房租价格是7500.0。
91,有一个Changning的public housing，1卧0厅1卫，面积是30平方米，有供暖，有地暖，房租价格是7500.0。
92,有一个Changning的public housing，1卧1厅1卫，面积是42平方米，有空调，有阳台，房租价格是7500.0。
93,有一个Changning的public housing，1卧1厅1卫，面积是40平方米，有室外空间，有供暖，有空调，房租价格是7500.0。
94,有一个Changning的public housing，1卧1厅1卫，面积是45平方米，有空调，房租价格是7500.0。
95,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有室外空间，有空调，有阳台，房租价格是7600.0。
96,有一个Changning的public housing，2卧2厅1卫，面积是65平方米，有空调，房租价格是7600.0。
97,有一个Changning的public housing，1卧1厅1卫，面积是52平方米，有供暖，有空调，有阳台，房租价格是7600.0。
98,有一个Changning的public housing，2卧1厅1卫，面积是60平方米，有空调，有阳台，有WIFI，房租价格是7800.0。
99,有一个Changning的public housing，2卧0厅1卫，面积是55平方米，有空调，有阳台，房租价格是7800.0。
100,有一个Changning的attached lane house，1卧1厅1卫，面积是50平方米，有空调，有WIFI，房租价格是7800.0。
101,有一个Changning的detached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是7800.0。
102,有一个Changning的public housing，2卧1厅1卫，面积是75平方米，有供暖，有空调，房租价格是7800.0。
103,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有空调，房租价格是7800.0。
104,有一个Changning的public housing，1卧0厅1卫，面积是40平方米，有供暖，有空调，有阳台，房租价格是7800.0。
105,有一个Changning的detached lane house，1卧1厅1卫，面积是40平方米，有空调，有阳台，房租价格是7800.0。
106,有一个Changning的public housing，1卧2厅1卫，面积是50平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是7800.0。
107,有一个Changning的public housing，2卧1厅1卫，面积是56平方米，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是7800.0。
108,有一个Changning的public housing，1卧2厅1卫，面积是65平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是7800.0。
109,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有供暖，有空调，有阳台，房租价格是7900.0。
110,有一个Changning的public housing，1卧2厅1卫，面积是59平方米，有空调，房租价格是8000.0。
111,有一个Changning的detached lane house，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是8000.0。
112,有一个Changning的detached lane house，1卧1厅1卫，面积是60平方米，有供暖，有空调，有阳台，有WIFI，房租价格是8000.0。
113,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是8000.0。
114,有一个Changning的public housing，1卧1厅1卫，面积是65平方米，有室外空间，房租价格是8000.0。
115,有一个Changning的public housing，2卧1厅1卫，面积是60平方米，有空调，有阳台，房租价格是8200.0。
116,有一个Changning的public housing，2卧1厅1卫，面积是51平方米，有空调，有阳台，房租价格是8200.0。
117,有一个Changning的public housing，1卧2厅1卫，面积是55平方米，有供暖，有空调，有阳台，房租价格是8200.0。
118,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有室外空间，有供暖，有空调，有阳台，房租价格是8200.0。
119,有一个Changning的public housing，2卧1厅1卫，面积是50平方米，有空调，有阳台，房租价格是8300.0。
120,有一个Changning的public housing，2卧1厅1卫，面积是60平方米，有室外空间，有供暖，有空调，有阳台，房租价格是8300.0。
121,有一个Changning的public housing，1卧1厅1卫，面积是48平方米，有空调，房租价格是8400.0。
122,有一个Changning的public housing，1卧1厅1卫，面积是50平方米，有室外空间，有供暖，有空调，有阳台，房租价格是8400.0。
123,有一个Changning的attached lane house，1卧1厅1卫，面积是50平方米，有空调，有烤箱，房租价格是8500.0。
124,有一个Changning的attached lane house，1卧1厅1卫，面积是76平方米，有供暖，有空调，有阳台，有WIFI，房租价格是8500.0。
125,有一个Changning的detached lane house，1卧1厅1卫，面积是45平方米，有室外空间，房租价格是8500.0。
126,有一个Changning的detached lane house，1卧1厅1卫，面积是55平方米，有室外空间，有供暖，有地暖，房租价格是8500.0。
127,有一个Changning的public housing，2卧1厅1卫，面积是50平方米，有阳台，房租价格是8500.0。
128,有一个Changning的public housing，2卧1厅1卫，面积是68平方米，有室外空间，有空调，有阳台，房租价格是8500.0。
129,有一个Changning的attached lane house，1卧1厅1卫，面积是68平方米，有室外空间，房租价格是8500.0。
130,有一个Changning的detached lane house，2卧2厅1卫，面积是70平方米，有空调，房租价格是8600.0。
131,有一个Changning的public housing，1卧2厅1卫，面积是70平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是8800.0。
132,有一个Changning的public housing，2卧1厅1卫，面积是68平方米，有空调，房租价格是8800.0。
133,有一个Changning的public housing，2卧1厅1卫，面积是70平方米，有空调，有阳台，房租价格是8800.0。
134,有一个Changning的public housing，2卧1厅1卫，面积是60平方米，有空调，有烤箱，房租价格是8800.0。
135,有一个Changning的public housing，2卧1厅1卫，面积是60平方米，有空调，有阳台，房租价格是8800.0。
136,有一个Changning的detached lane house，1卧2厅1卫，面积是45平方米，有室外空间，有空调，有WIFI，房租价格是8800.0。
137,有一个Changning的detached lane house，1卧1厅1卫，面积是35平方米，有空调，有阳台，有WIFI，房租价格是9000.0。
138,有一个Changning的public housing，1卧2厅1卫，面积是50平方米，有室外空间，房租价格是9000.0。
139,有一个Changning的public housing，2卧2厅1卫，面积是65平方米，有室外空间，房租价格是9000.0。
140,有一个Changning的detached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有供暖，房租价格是9000.0。
141,有一个Changning的attached lane house，1卧1厅1卫，面积是45平方米，有室外空间，有供暖，有空调，有地暖，房租价格是9000.0。
142,有一个Changning的public housing，1卧1厅1卫，面积是40平方米，有室外空间，有供暖，有空调，房租价格是9000.0。
143,有一个Changning的public housing，1卧2厅1卫，面积是60平方米，有室外空间，房租价格是9000.0。
144,有一个Changning的detached lane house，2卧2厅2卫，面积是100平方米，有室外空间，房租价格是9000.0。
145,有一个Changning的public housing，2卧1厅1卫，面积是76平方米，有室外空间，有空调，有阳台，房租价格是9200.0。
146,有一个Changning的public housing，1卧2厅1卫，面积是66平方米，有室外空间，有空调，有阳台，房租价格是9200.0。
147,有一个Changning的public housing，3卧1厅1卫，面积是95平方米，有室外空间，房租价格是9500.0。
148,有一个Changning的detached lane house，1卧1厅1卫，面积是70平方米，有室外空间，房租价格是9500.0。
149,有一个Changning的public housing，1卧2厅1卫，面积是65平方米，有室外空间，有供暖，有空调，有阳台，房租价格是9500.0。
150,有一个Changning的detached lane house，1卧1厅1卫，面积是58平方米，有室外空间，有供暖，房租价格是9500.0。
151,有一个Changning的public housing，2卧2厅1卫，面积是120平方米，有空调，房租价格是9500.0。
152,有一个Changning的detached lane house，1卧1厅1卫，面积是60平方米，有供暖，有空调，有WIFI，有浴缸，有烤箱，房租价格是9800.0。
153,有一个Changning的public housing，2卧1厅1卫，面积是52平方米，有空调，有烤箱，房租价格是9800.0。
154,有一个Changning的public housing，2卧1厅1卫，面积是60平方米，有空调，有阳台，房租价格是9800.0。
155,有一个Changning的detached lane house，1卧1厅1卫，面积是65平方米，有室外空间，有空调，有WIFI，房租价格是9800.0。
156,有一个Changning的detached lane house，1卧1厅1卫，面积是70平方米，有室外空间，房租价格是9800.0。
157,有一个Changning的public housing，2卧1厅1卫，面积是90平方米，有室外空间，房租价格是9800.0。
158,有一个Changning的public housing，1卧1厅1卫，面积是55平方米，有室外空间，有空调，有阳台，房租价格是9800.0。
159,有一个Changning的public housing，2卧1厅1卫，面积是70平方米，有空调，房租价格是9800.0。
160,有一个Changning的detached lane house，1卧2厅1卫，面积是65平方米，有室外空间，有空调，有阳台，房租价格是9999.0。
161,有一个Changning的public housing，1卧2厅1卫，面积是66平方米，有室外空间，有浴缸，房租价格是10000.0。
162,有一个Changning的attached lane house，2卧1厅1卫，面积是60平方米，有空调，房租价格是10000.0。
163,有一个Changning的public housing，1卧1厅1卫，面积是40平方米，有室外空间，有空调，有地暖，房租价格是10000.0。
164,有一个Changning的detached lane house，1卧1厅1卫，面积是70平方米，整栋建筑，有室外空间，有阳台，有WIFI，房租价格是10000.0。
165,有一个Changning的detached lane house，1卧1厅1卫，面积是62平方米，有室外空间，有空调，房租价格是10300.0。
166,有一个Changning的public housing，2卧2厅1卫，面积是72平方米，有空调，有阳台，有WIFI，房租价格是10500.0。
167,有一个Changning的detached lane house，2卧1厅1卫，面积是65平方米，有室外空间，有空调，房租价格是10800.0。
168,有一个Changning的public housing，3卧1厅1卫，面积是80平方米，有空调，有阳台，房租价格是10800.0。
169,有一个Changning的public housing，1卧1厅1卫，面积是80平方米，有室外空间，房租价格是11000.0。
170,有一个Changning的public housing，2卧2厅2卫，面积是100平方米，有供暖，有空调，有阳台，有地暖，房租价格是11000.0。
171,有一个Changning的attached lane house，1卧1厅1卫，面积是30平方米，有室外空间，有供暖，有地暖，房租价格是11000.0。
172,有一个Changning的public housing，2卧2厅1卫，面积是70平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有地暖，有烤箱，房租价格是11000.0。
173,有一个Changning的attached lane house，1卧1厅1卫，面积是70平方米，有空调，房租价格是11000.0。
174,有一个Changning的attached lane house，1卧2厅1卫，面积是60平方米，有室外空间，有供暖，有地暖，房租价格是11000.0。
175,有一个Changning的public housing，1卧1厅1卫，面积是65平方米，有空调，有阳台，有地暖，房租价格是11000.0。
176,有一个Changning的attached lane house，1卧1厅1卫，面积是60平方米，有空调，有阳台，房租价格是11000.0。
177,有一个Changning的public housing，2卧2厅1卫，面积是82平方米，有室外空间，房租价格是11000.0。
178,有一个Changning的public housing，1卧1厅1卫，面积是45平方米，有室外空间，有供暖，有空调，有浴缸，房租价格是11000.0。
179,有一个Changning的detached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是11000.0。
180,有一个Changning的public housing，2卧1厅1卫，面积是70平方米，有空调，房租价格是11000.0。
181,有一个Changning的public housing，3卧1厅1卫，面积是118平方米，有室外空间，房租价格是11500.0。
182,有一个Changning的detached lane house，1卧1厅1卫，面积是43平方米，有室外空间，房租价格是11500.0。
183,有一个Changning的public housing，2卧1厅1卫，面积是80平方米，有空调，有阳台，房租价格是11500.0。
184,有一个Changning的public housing，2卧2厅2卫，面积是70平方米，有空调，有阳台，有WIFI，有烤箱，房租价格是11500.0。
185,有一个Changning的public housing，1卧2厅1卫，面积是55平方米，有室外空间，有供暖，有空调，有阳台，房租价格是11800.0。
186,有一个Changning的detached lane house，1卧1厅1卫，面积是65平方米，有室外空间，房租价格是11800.0。
187,有一个Changning的public housing，1卧2厅1卫，面积是65平方米，有室外空间，有供暖，有空调，有阳台，房租价格是11800.0。
188,有一个Changning的public housing，1卧2厅1卫，面积是65平方米，有室外空间，有供暖，有空调，有阳台，房租价格是11800.0。
189,有一个Changning的public housing，1卧2厅1卫，面积是75平方米，有供暖，有空调，房租价格是11800.0。
190,有一个Changning的attached lane house，2卧1厅1卫，面积是60平方米，有供暖，有空调，有地暖，房租价格是11999.0。
191,有一个Changning的detached lane house，1卧2厅1卫，面积是60平方米，有室外空间，有供暖，有空调，有WIFI，有地暖，房租价格是12000.0。
192,有一个Changning的public housing，1卧2厅2卫，面积是85平方米，整栋建筑，有室外空间，有供暖，有浴缸，有地暖，房租价格是12000.0。
193,有一个Changning的public housing，2卧1厅1卫，面积是70平方米，有室外空间，房租价格是12000.0。
194,有一个Changning的public housing，2卧1厅1卫，面积是70平方米，有供暖，有空调，房租价格是12000.0。
195,有一个Changning的attached lane house，1卧2厅1卫，面积是60平方米，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是12000.0。
196,有一个Changning的public housing，2卧1厅2卫，面积是100平方米，有室外空间，有供暖，有空调，有WIFI，有浴缸，有地暖，房租价格是12500.0。
197,有一个Changning的public housing，2卧1厅1卫，面积是90平方米，有供暖，有地暖，房租价格是12500.0。
198,有一个Changning的public housing，1卧2厅1卫，面积是75平方米，有室外空间，有供暖，有空调，有地暖，房租价格是12800.0。
199,有一个Changning的public housing，2卧2厅1卫，面积是100平方米，有室外空间，房租价格是12800.0。
200,有一个Changning的public housing，1卧2厅1卫，面积是100平方米，有室外空间，有浴缸，房租价格是12800.0。
201,有一个Changning的public housing，2卧2厅1卫，面积是80平方米，有室外空间，有空调，房租价格是12800.0。
202,有一个Changning的attached lane house，1卧1厅1卫，面积是75平方米，有室外空间，有供暖，有空调，有阳台，房租价格是13000.0。
203,有一个Changning的detached lane house，1卧1厅1卫，面积是70平方米，整栋建筑，有室外空间，有供暖，有WIFI，房租价格是13000.0。
204,有一个Changning的detached lane house，1卧2厅1卫，面积是50平方米，有室外空间，房租价格是13000.0。
205,有一个Changning的public housing，2卧2厅2卫，面积是85平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有地暖，有烤箱，房租价格是13800.0。
206,有一个Changning的public housing，2卧2厅1卫，面积是80平方米，有室外空间，有空调，房租价格是13800.0。
207,有一个Changning的attached lane house，1卧2厅1卫，面积是100平方米，有室外空间，有空调，有浴缸，有地暖，房租价格是14000.0。
208,有一个Changning的public housing，1卧1厅1卫，面积是80平方米，有供暖，有空调，有浴缸，有地暖，房租价格是14000.0。
209,有一个Changning的detached lane house，1卧2厅1卫，面积是60平方米，有室外空间，有空调，有WIFI，房租价格是15300.0。
210,有一个Changning的detached lane house，2卧2厅1卫，面积是80平方米，整栋建筑，有室外空间，房租价格是15900.0。
211,有一个Changning的detached lane house，2卧2厅2卫，面积是120平方米，有室外空间，房租价格是16000.0。
212,有一个Changning的public housing，2卧2厅2卫，面积是100平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是16500.0。
213,有一个Changning的villa，4卧2厅2卫，面积是200平方米，有室外空间，有浴缸，房租价格是16500.0。
214,有一个Changning的detached lane house，2卧2厅2卫，面积是110平方米，有室外空间，有烤箱，房租价格是17000.0。
215,有一个Changning的detached lane house，2卧1厅1卫，面积是80平方米，整栋建筑，有室外空间，房租价格是17800.0。
216,有一个Changning的attached lane house，3卧2厅2卫，面积是150平方米，有室外空间，有供暖，有空调，有烤箱，房租价格是19800.0。
217,有一个Changning的attached lane house，2卧2厅1卫，面积是110平方米，有室外空间，有空调，房租价格是20000.0。
218,有一个Changning的attached lane house，7卧2厅4卫，面积是225平方米，整栋建筑，有室外空间，有浴缸，房租价格是20000.0。
219,有一个Changning的detached lane house，2卧2厅1卫，面积是110平方米，有供暖，有空调，有浴缸，有地暖，房租价格是20000.0。
220,有一个Changning的public housing，2卧2厅2卫，面积是110平方米，有室外空间，房租价格是20000.0。
221,有一个Changning的public housing，2卧2厅2卫，面积是110平方米，整栋建筑，有室外空间，有供暖，有空调，有WIFI，有地暖，有烤箱，房租价格是22000.0。
222,有一个Changning的detached lane house，3卧2厅2卫，面积是120平方米，整栋建筑，有室外空间，房租价格是26000.0。
223,有一个Changning的villa，4卧3厅3卫，面积是200平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有地暖，房租价格是28000.0。
224,有一个Changning的detached lane house，2卧2厅2卫，面积是160平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是28500.0。
225,有一个Changning的villa，4卧2厅2卫，面积是180平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有地暖，有烤箱，房租价格是28800.0。
226,有一个Changning的attached lane house，3卧2厅2卫，面积是150平方米，整栋建筑，有空调，有阳台，有WIFI，有浴缸，房租价格是29000.0。
227,有一个Changning的detached lane house，3卧2厅3卫，面积是120平方米，整栋建筑，有室外空间，有空调，有阳台，有浴缸，房租价格是30000.0。
228,有一个Changning的villa，4卧2厅3卫，面积是200平方米，有室外空间，有供暖，有阳台，有浴缸，有地暖，房租价格是32000.0。
229,有一个Changning的villa，4卧2厅3卫，面积是270平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是32000.0。
230,有一个Changning的villa，4卧2厅3卫，面积是200平方米，有供暖，有地暖，房租价格是32000.0。
231,有一个Changning的villa，3卧2厅3卫，面积是168平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有烤箱，房租价格是32800.0。
232,有一个Changning的villa，4卧2厅3卫，面积是172平方米，有供暖，有空调，有浴缸，有地暖，房租价格是35000.0。
233,有一个Changning的villa，4卧2厅3卫，面积是220平方米，有室外空间，有供暖，有空调，有地暖，房租价格是38000.0。
234,有一个Changning的villa，5卧2厅4卫，面积是298平方米，有室外空间，有供暖，有空调，有WIFI，有浴缸，有地暖，有烤箱，房租价格是39000.0。
235,有一个Changning的detached lane house，4卧2厅3卫，面积是250平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，有烤箱，房租价格是40000.0。
236,有一个Changning的attached lane house，4卧2厅3卫，面积是250平方米，整栋建筑，有室外空间，有供暖，有空调，有浴缸，有地暖，房租价格是49000.0。
237,有一个Changning的villa，5卧3厅4卫，面积是340平方米，有室外空间，有空调，房租价格是50000.0。
238,有一个Changning的villa，4卧2厅4卫，面积是340平方米，有室外空间，有空调，房租价格是55000.0。
239,有一个Changning的villa，8卧3厅4卫，面积是379平方米，整栋建筑，有室外空间，有空调，有阳台，有浴缸，房租价格是70000.0。
240,有一个Changning的detached lane house，5卧3厅4卫，面积是500平方米，有浴缸，房租价格是80000.0。
241,有一个Hongkou的attached lane house，1卧0厅1卫，面积是18平方米，有空调，房租价格是3000.0。
242,有一个Hongkou的public housing，1卧1厅1卫，面积是48平方米，有室外空间，有空调，房租价格是3800.0。
243,有一个Hongkou的attached lane house，1卧1厅1卫，面积是38平方米，有空调，有阳台，有WIFI，房租价格是5200.0。
244,有一个Hongkou的public housing，4卧1厅2卫，面积是133平方米，有空调，有阳台，房租价格是9500.0。
245,有一个Hongkou的villa，8卧9厅9卫，面积是400平方米，有室外空间，有供暖，有空调，房租价格是120000.0。
246,有一个Huangpu的attached lane house，1卧0厅1卫，面积是20平方米，有空调，有WIFI，房租价格是2500.0。
247,有一个Huangpu的attached lane house，1卧0厅1卫，面积是10平方米，有空调，房租价格是2500.0。
248,有一个Huangpu的public housing，1卧0厅1卫，面积是15平方米，有空调，房租价格是2800.0。
